hostName	ScerCount	Spar	otherAmplifiedITScount	otherGrowthCount	sampleCount	site	species	hostType	latitude	longitude	elevation	circum	pH
AN1	2	0	9	4	10	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN2	0	0	7	2	9	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN3	1	0	5	1	5	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN4	0	0	3	7	10	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
BOB	0	0	1	8	10	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA
CHO3	0	0	1	0	1	CHO	Quercussp.	oak	53.42394	-2.2700013	34	1.14	NA
CR1	0	0	3	0	11	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA
CRO10	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3
CRO11	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3
CRO12	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3
CRO13	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25
CRO14	0	0	0	0	7	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25
CRO15	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25
CRO1	0	1	1	0	12	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5
CRO2	0	3	0	0	10	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5
CRO3	0	2	0	1	10	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5
CRO4	0	1	0	1	8	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4
CRO5	0	0	0	1	9	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3
CRO6	0	0	2	0	7	CRO	Quercuspetraea	oak	53.493877	-1.8935765	325	1.63	3
CRO7	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494372	-1.8942385	305	1.3	3
CRO8	0	1	0	1	9	CRO	Quercuspetraea	oak	53.494327	-1.8941783	288	1.76	NA
CRO9	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494579	-1.8943887	288	1	3
DAV10	0	0	2	1	4	DAV	Vitisvinifera	grape	51.022167	0.197367	85.5	NA	5.5
DAV11	0	0	2	1	6	DAV	Vitisvinifera	grape	51.022067	0.197333	85.5	NA	5.5
DAV1	1	1	2	0	8	DAV	Quercusrobur	oak	51.022117	0.197617	85.3	1.9	4
DAV2	0	0	0	0	4	DAV	Quercusrobur	oak	51.022167	0.197767	86.3	3.18	5.5
DAV3	0	0	0	0	4	DAV	Quercuspetraea	oak	51.022	0.197417	93.3	0.38	4
DAV4	0	0	0	0	4	DAV	Quercusrobur	oak	51.021933	0.197433	94.8	0.74	3.5
DAV5	0	0	0	0	4	DAV	Quercusrobur	oak	51.02195	0.1973	88.4	0.44	4.5
DAV6	0	0	0	0	4	DAV	Quercusrobur	oak	51.021783	0.19725	78.3	0.54	5.5
DAV7	0	0	3	0	4	DAV	Vitisvinifera	grape	51.022633	0.1979	85.5	NA	5.5
DAV8	1	0	0	0	4	DAV	Vitisvinifera	grape	51.02245	0.197433	85.5	NA	5.5
DAV9	2	0	2	0	4	DAV	Vitisvinifera	grape	51.022283	0.197417	85.5	NA	5.5
DAVAUX	2	0	0	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	85.5	NA	5.5
DAVPIN	1	0	2	0	2	DAV	Vitisvinifera	grape	51.02227783	0.197463833	85.5	NA	5.5
FGX	1	0	0	5	12	PAR	Ficuscarica	fig	38.12495	23.85544	351	NA	NA
FRI10	0	0	2	2	4	FRI	Quercuspetraea	oak	50.92785	-1.657083	89.9	4.12	6.5
FRI11	0	1	2	2	4	FRI	Quercuspetraea	oak	50.928483	-1.655183	104.2	3.88	4
FRI12	0	0	2	2	4	FRI	Quercusrobur	oak	50.92875	-1.655667	109.1	1.83	5.5
FRI13	0	0	0	4	4	FRI	Quercusrobur	oak	50.928883	-1.655967	127.4	3.76	4.5
FRI14	0	1	0	2	4	FRI	Quercusrobur	oak	50.929333	-1.655383	132.9	2.88	3.5
FRI15	0	0	0	2	4	FRI	Quercuspetraea	oak	50.929967	-1.65555	133.2	2.34	4.5
FRI1	0	1	0	3	4	FRI	Quercuspetraea	oak	50.928117	-1.656017	187.5	3.52	4.5
FRI2	0	1	0	3	4	FRI	Quercusrobur	oak	50.928033	-1.655867	177.4	3.73	3.5
FRI3	0	1	0	3	4	FRI	Quercusrobur	oak	50.928233	-1.6559	103.9	NA	3.5
FRI4	0	1	0	2	4	FRI	Quercusrobur	oak	50.928267	-1.655633	75	3.79	3.5
FRI5	0	0	1	3	4	FRI	Quercusrobur	oak	50.928067	-1.656	113.4	2.83	4.5
FRI6	0	1	0	3	4	FRI	Quercusrobur	oak	50.928783	-1.6559	88.1	3.4	4
