hostName	ScerCount	SparCount	otherAmplifiedITScount	otherGrowthCount	sampleCount	site	species	hostType	latitude	longitude	elevation	circum	pH	tmaxlatitude	tmaxlongitude	maxtemp
AN1	2	0	9	4	10	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA	40.25	23.69167	315
AN2	0	0	7	2	9	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA	40.25	23.69167	315
AN3	1	0	5	1	5	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA	40.25	23.69167	315
AN4	0	0	3	7	10	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA	40.25	23.69167	315
BOB	0	0	1	8	10	PAR	Vitisvinifera	grape	38.13974	23.78445	378	NA	NA	38.14167	23.78333	310
CHO3	0	0	1	0	1	CHO	Quercussp.	oak	53.42394	-2.2700013	34	1.14	NA	53.425	-2.266667	213
CR1	0	0	3	0	11	CR	Ficuscarica	fig	35.5527	23.777033	21	NA	NA	35.55	23.775	295
CRO1	0	1	1	0	12	CRO	Quercuspetraea	oak	53.49475	-1.8944034	257	2	3.5	53.49167	-1.891667	196
CRO10	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494804	-1.8945389	287	1.68	3	53.49167	-1.891667	196
CRO11	0	0	0	0	9	CRO	Quercuspetraea	oak	53.494633	-1.8944489	281	0.85	3	53.49167	-1.891667	196
CRO12	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494435	-1.8942233	275	1.3	3	53.49167	-1.891667	196
CRO13	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494858	-1.894373	290	1.37	3.25	53.49167	-1.891667	196
CRO14	0	0	0	0	7	CRO	Quercuspetraea	oak	53.495127	-1.8944025	300	1.22	3.25	53.49167	-1.891667	196
CRO15	0	0	0	0	7	CRO	Quercuspetraea	oak	53.494183	-1.8938471	275	1.28	3.25	53.49167	-1.891667	196
CRO2	0	3	0	0	10	CRO	Quercuspetraea	oak	53.494066	-1.8936364	256	2	3.5	53.49167	-1.891667	196
CRO3	0	2	0	1	10	CRO	Quercuspetraea	oak	53.494075	-1.8936062	260	1.8	3.5	53.49167	-1.891667	196
CRO4	0	1	0	1	8	CRO	Quercuspetraea	oak	53.493364	-1.8931558	334	1.44	4	53.49167	-1.891667	196
CRO5	0	0	0	1	9	CRO	Quercuspetraea	oak	53.493454	-1.8932611	331	1.56	3	53.49167	-1.891667	196
CRO6	0	0	2	0	7	CRO	Quercuspetraea	oak	53.493877	-1.8935765	325	1.63	3	53.49167	-1.891667	196
CRO7	0	1	0	0	9	CRO	Quercuspetraea	oak	53.494372	-1.8942385	305	1.3	3	53.49167	-1.891667	196
CRO8	0	1	0	1	9	CRO	Quercuspetraea	oak	53.494327	-1.8941783	288	1.76	NA	53.49167	-1.891667	196
