sampleName	Scer	Spar	otherAmplifiedITS	otherGrowth	substrate	fieldDate	weight	isolationTemp	hostName	site	species	hostType	latitude	longitude	elevation	circum	pH
AN1a	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1b	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1c	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1d	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1e	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1f	1	0	0	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1g	1	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1h	0	0	1	0	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1i	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN1j	0	0	1	1	fig	10/09/2009	NA	30	AN1	PYR	Ficuscarica	fig	40.2504	23.69257	90	NA	NA
AN2a	0	0	0	1	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2b	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2c	0	0	0	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2d	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2e	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2f	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2g	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2i	0	0	1	0	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN2j	0	0	1	1	grape	10/09/2009	NA	30	AN2	PYR	Vitisvinifera	grape	40.25023	23.69359	85	NA	NA
AN3a	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3b	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3c	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3d	0	0	1	0	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
AN3e	1	0	1	1	fig	10/09/2009	NA	30	AN3	PYR	Ficuscarica	fig	40.25023	23.69359	85	NA	NA
