"sampleName"	"Scer"	"Spar"	"site"	"hostType"	"latitude"	"longitude"	"vineyardAgr"	"genotype"	"genotypeStudy"	"GoogleSearchTerm"	"TmaxLat"	"TmaxLon"	"Tmax"
DBAJ52.S	1	0	DAV	oaklike	51.022117	0.197617	vineyard	wine	Almeida2015	NA	51.025	0.2	214
DBAI58.S	1	0	MB	oaklike	43.64701	3.20304	wild	EuropeanOak	Almeida2015	NA	43.65	3.2	280
DBQ26	1	0	PYR	oaklike	40.37596	23.6925	wild	EuropeanOak	Almeida2015	NA	40.375	23.6916666666667	309
DBAI44.S	1	0	PYR	oaklike	40.37596	23.6925	wild	EuropeanOak	Almeida2015	NA	40.375	23.6916666666667	309
EXF6761	1	0	Slovenia	oaklike	46.566054	15.94856	unknown	wine	Almeida2015	"Cerkvenjak, Slovenia"	46.5666666666667	15.95	254
ZP578	1	0	AldeiaPT	oaklike	40.295292	-7.865038	unknown	wine	Almeida2015	"Aldeia das Dez, Portugal"	40.2916666666667	-7.86666666666667	298
ZP577	1	0	AldeiaPT	oaklike	40.295292	-7.865038	unknown	wine	Almeida2015	"Aldeia das Dez, Portugal"	40.2916666666667	-7.86666666666667	298
ZP579	1	0	AldeiaPT	oaklike	40.295292	-7.865038	unknown	wine	Almeida2015	"Aldeia das Dez, Portugal"	40.2916666666667	-7.86666666666667	298
EXF7145	1	0	Serbia	oaklike	45.16939	19.662561	wild	mosaic	Almeida2015	"Fruska Gora National Park, Novi Sad, Serbia"	45.1666666666667	19.6666666666667	263
oakRom3-2a	1	0	nrBucarest	oaklike	44.441258	26.105281	unknown	EuropeanOak	Almeida2015	"Bucarest, Romania"	44.4416666666667	26.1083333333333	286
HUN9s1	1	0	DebrecenHungary	oaklike	47.539259	21.652972	wild	EuropeanOak	Almeida2015	"Debrecen, Hungary"	47.5416666666667	21.65	265
EXF7200	1	0	JasenovoMontenegro	oaklike	42.89579	18.963583	unknown	EuropeanOak	Almeida2015	"Jasenovo polje, Montenegro"	42.8916666666667	18.9666666666667	241
EXF7197	1	0	JasenovoMontenegro	oaklike	42.89579	18.963583	unknown	EuropeanOak	Almeida2015	"Jasenovo polje, Montenegro"	42.8916666666667	18.9666666666667	241
DBVPG10100	1	0	SubasioItaly	oaklike	43.067205	12.652455	naturereserve	EuropeanOak	Almeida2015	"Parco del Monte Subasio, Italy"	43.0666666666667	12.65	238
ZP541	1	0	AdagoiPT	beech	41.615314	-7.648193	unknown	EuropeanOak	Almeida2015	"Adagoi, Portugal"	41.6166666666667	-7.65	272
ZP851	1	0	AlconoralesSP	oaklike	36.348853	-5.603762	naturereserve	EuropeanOak	Almeida2015	"Alconorales Natural Park, Andaluzia, Spain"	36.35	-5.6	282
ZP860	1	0	AlconoralesSP	oaklike	36.348853	-5.603762	naturereserve	EuropeanOak	Almeida2015	"Alconorales Natural Park, Andaluzia, Spain"	36.35	-5.6	282
ZP850	1	0	AlconoralesSP	oaklike	36.348853	-5.603762	naturereserve	EuropeanOak	Almeida2015	"Alconorales Natural Park, Andaluzia, Spain"	36.35	-5.6	282
ZP570	1	0	PBoquiloboPT	Fraxinus	39.391909	8.532563	naturereserve	EuropeanOak	Almeida2015	"Paul Boquilobo, Portugal"	39.3916666666667	8.53333333333333	279
ZP848	1	0	AlterChPT	oaklike	39.20187	-7.66008	unknown	EuropeanOak	Almeida2015	"Alter do Chao, Portugal"	39.2	-7.65833333333333	313
ZP611	1	0	Vancouver	oaklike	49.245773	-123.073264	unknown	mosaic	Almeida2015	"Vancouver, Canada"	49.2416666666667	-123.075	226
ZP560	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP561	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP562	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP565	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP568	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP633	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP636	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP563	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP564	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP566	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
ZP590	1	0	CasteloPT	oaklike	39.473798	-7.488764	unknown	EuropeanOak	Almeida2015	"Castelo de Vide, Portugal"	39.475	-7.49166666666667	313
SDO2s1	1	0	NorthCarolina	oaklike	35.626398	-78.721224	wild	NCoak	Almeida2015	"North Carolina"	35.625	-78.725	316
SDO3s1	1	0	NorthCarolina	oaklike	35.626398	-78.721224	wild	NCoak	Almeida2015	"North Carolina"	35.625	-78.725	316
SDO6s1	1	0	NorthCarolina	oaklike	35.626398	-78.721224	wild	NCoak	Almeida2015	"North Carolina"	35.625	-78.725	316
SDO8s1	1	0	NorthCarolina	oaklike	35.626398	-78.721224	wild	NCoak	Almeida2015	"North Carolina"	35.625	-78.725	316
SM69s1	1	0	NorthCarolina	oaklike	35.626398	-78.721224	wild	NCoak	Almeida2015	"North Carolina"	35.625	-78.725	316
EXF6780	1	0	VelikeSlovenia	oaklike	45.835376	14.639759	unknown	mosaic	Almeida2015	"Velike Lasce, Slovenia"	45.8333333333333	14.6416666666667	249
oakBor21-1	1	0	BordeauxFrance	oaklike	44.855454	-0.57773	unknown	mosaic	Almeida2015	"Bordeaux, France"	44.8583333333333	-0.575	261
oakGri7.1	1	0	GrignonFrance	oaklike	48.852082	2.347232	unknown	mosaic	Almeida2015	"Paris, France"	48.85	2.35	248
T7Fay	1	0	BablerUSA	oaklike	38.623523	-90.691479	naturereserve	NAmerica1	Almeida2015	"Babler State Park, Missouri, USA"	38.625	-90.6916666666667	315
YPS128	1	0	Pennsylvania	oaklike	39.937311	-75.430055	naturereserve	PAoak	Almeida2015	"John Tyler Arboretum"	39.9333333333333	-75.4333333333333	298
ZP649	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP650	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP651	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP652	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
