queryname	DBuid	strainUID	sampleName	classification	species	originalfilename	closestBlastSpecies	Ascore	Evalue	Cscore	Pscore	GenBankAccession
AN1a.YM_ITS	DBP57	AN1a.YM	AN1a	otherAmplifiedITS	Saccharomyces sp.	AN1aYMITS.fa	Saccharomyces paradoxus	1097	0.0	NA	1097	KT206983
AN1b.SM_ITS	DBN22	AN1b.SM	AN1b	otherAmplifiedITS	Zygosaccharomyces bailii	AN1bSMITS.fa	Zygosaccharomyces bailii	327	7e-87	NA	NA	NA
AN1c.SM_ITS	DBN23	AN1c.SM	AN1c	otherAmplifiedITS	Starmerella bacillaris	AN1cSMITS.fa	Starmerella bacillaris	769	0.0	NA	159	KT206984
AN1c.SM_ITS	DBN23	AN1c.SM	AN1c	otherAmplifiedITS	Starmerella bacillaris	AN1cSMITS.fa	Starmerella bacillaris	769	0.0	NA	159	KT206984
AN1d.SM_ITS	DBN24	AN1d.SM	AN1d	otherAmplifiedITS	Zygosaccharomyces bailii	AN1dSMITS.fa	Zygosaccharomyces bailii	351	6e-94	NA	NA	NA
AN1e.2_ITS	DBP72	AN1e.2	AN1e	otherAmplifiedITS	Saccharomyces sp.	AN1e2ITS.fa	Saccharomyces paradoxus	269	2e-69	NA	269	NA
AN1e.YM_ITS	DBP56	AN1e.YM	AN1e	otherAmplifiedITS	Saccharomyces sp.	AN1eYMITS.fa	Saccharomyces paradoxus	1095	0.0	NA	1095	KT206985
AN1f.1_CEN15	DBP11	AN1f.1	AN1f	Scer	Saccharomyces cerevisiae	AN1f1c15.fa	Saccharomyces cerevisiae	637	3e-180	NA	102	NA
AN1f.2.1_CEN15	DBP62	AN1f.2.1	AN1f	Scer	Saccharomyces cerevisiae	AN1f2_1c15.fa	Saccharomyces cerevisiae	648	0.0	NA	102	NA
AN1f.2.1_CEN9	DBP62	AN1f.2.1	AN1f	Scer	Saccharomyces cerevisiae	AN1f2_1c9.fa	Saccharomyces cerevisiae	580	7e-163	NA	NA	NA
AN1f.SM_CEN9	DBN25	AN1f.SM	AN1f	Scer	Saccharomyces cerevisiae	AN1fSMc9.fa	Saccharomyces cerevisiae	307	6e-81	NA	NA	NA
